rnai,treatment,plate,worm,set_up_date,death_date
EV,Dark,1,1,03-Mar,06-Mar
ev,dark,1,2,03-Mar,10-Mar
ev,dark,1,3,03-Mar,16-Mar
ev,dark,1,4,03-Mar,17-Mar
ev,dark,1,5,03-Mar,18-Mar
ev,dark,1,6,03-Mar,19-Mar
ev,dark,1,7,03-Mar,21-Mar
ev,dark,1,8,03-Mar,22-Mar
ev,dark,1,9,03-Mar,22-Mar
ev,dark,1,10,03-Mar,24-Mar
ev,dark,2,1,03-Mar,09-Mar
ev,dark,2,2,03-Mar,15-Mar
ev,dark,2,3,03-Mar,17-Mar
ev,dark,2,4,03-Mar,18-Mar
ev,dark,2,5,03-Mar,19-Mar
ev,dark,2,6,03-Mar,19-Mar
ev,dark,2,7,03-Mar,20-Mar
ev,dark,2,8,03-Mar,22-Mar
ev,dark,2,9,03-Mar,23-Mar
ev,dark,2,10,03-Mar,24-Mar
ev,dark,3,1,03-Mar,15-Mar
ev,dark,3,2,03-Mar,20-Mar
ev,dark,3,3,03-Mar,20-Mar
ev,dark,3,4,03-Mar,21-Mar
ev,dark,3,5,03-Mar,21-Mar
ev,dark,3,6,03-Mar,22-Mar
ev,dark,3,7,03-Mar,25-Mar
ev,dark,3,8,03-Mar,25-Mar
ev,dark,3,9,03-Mar,26-Mar
ev,dark,3,10,03-Mar,28-Mar
ev,dark,4,1,03-Mar,14-Mar
ev,dark,4,2,03-Mar,16-Mar
ev,dark,4,3,03-Mar,17-Mar
ev,dark,4,4,03-Mar,18-Mar
ev,dark,4,5,03-Mar,19-Mar
ev,dark,4,6,03-Mar,19-Mar
EV,Dark,4,7,03-Mar,
EV,Dark,4,8,03-Mar,
EV,Dark,4,9,03-Mar,
EV,Dark,4,10,03-Mar,
ev,dark,5,1,03-Mar,12-Mar
ev,dark,5,2,03-Mar,13-Mar
ev,dark,5,3,03-Mar,15-Mar
ev,dark,5,4,03-Mar,17-Mar
ev,dark,5,5,03-Mar,18-Mar
ev,dark,5,6,03-Mar,19-Mar
ev,dark,5,7,03-Mar,19-Mar
ev,dark,5,8,03-Mar,21-Mar
ev,dark,5,9,03-Mar,24-Mar
ev,dark,5,10,03-Mar,24-Mar
ev,dark,6,1,03-Mar,13-Mar
ev,dark,6,2,03-Mar,18-Mar
ev,dark,6,3,03-Mar,18-Mar
ev,dark,6,4,03-Mar,18-Mar
ev,dark,6,5,03-Mar,21-Mar
ev,dark,6,6,03-Mar,22-Mar
ev,dark,6,7,03-Mar,22-Mar
ev,dark,6,8,03-Mar,23-Mar
ev,dark,6,9,03-Mar,24-Mar
ev,dark,6,10,03-Mar,24-Mar
raga,dark,1,1,03-Mar,13-Mar
RAGA,Dark,1,2,03-Mar,14-Mar
raga,dark,1,3,03-Mar,16-Mar
raga,dark,1,4,03-Mar,18-Mar
raga,dark,1,5,03-Mar,19-Mar
raga,dark,1,6,03-Mar,21-Mar
raga,dark,1,7,03-Mar,21-Mar
raga,dark,1,8,03-Mar,21-Mar
raga,dark,1,9,03-Mar,24-Mar
RAGA,Dark,1,10,03-Mar,19-Mar
RAGA,Dark,2,1,03-Mar,11-Mar
raga,dark,2,2,03-Mar,13-Mar
raga,dark,2,3,03-Mar,17-Mar
raga,dark,2,4,03-Mar,21-Mar
raga,dark,2,5,03-Mar,21-Mar
raga,dark,2,6,03-Mar,21-Mar
raga,dark,2,7,03-Mar,23-Mar
raga,dark,2,8,03-Mar,23-Mar
raga,dark,2,9,03-Mar,23-Mar
raga,dark,2,10,03-Mar,28-Mar
RAGA,Dark,3,1,03-Mar,11-Mar
raga,dark,3,2,03-Mar,15-Mar
raga,dark,3,3,03-Mar,17-Mar
raga,dark,3,4,03-Mar,20-Mar
RAGA,Dark,3,5,03-Mar,
RAGA,Dark,3,6,03-Mar,
RAGA,Dark,3,7,03-Mar,
RAGA,Dark,3,8,03-Mar,
RAGA,Dark,3,9,03-Mar,
RAGA,Dark,3,10,03-Mar,
RAGA,Dark,4,1,03-Mar,12-Mar
RAGA,Dark,4,2,03-Mar,19-Mar
raga,dark,4,3,03-Mar,20-Mar
raga,dark,4,4,03-Mar,23-Mar
raga,dark,4,5,03-Mar,23-Mar
raga,dark,4,6,03-Mar,28-Mar
raga,dark,4,7,03-Mar,28-Mar
raga,dark,4,8,03-Mar,28-Mar
raga,dark,4,9,03-Mar,29-Mar
raga,dark,4,10,03-Mar,03-Apr
RAGA,Dark,5,1,03-Mar,07-Mar
RAGA,Dark,5,2,03-Mar,14-Mar
raga,dark,5,3,03-Mar,14-Mar
raga,dark,5,4,03-Mar,16-Mar
raga,dark,5,5,03-Mar,17-Mar
raga,dark,5,6,03-Mar,17-Mar
RAGA,Dark,5,7,03-Mar,23-Mar
raga,dark,5,8,03-Mar,28-Mar
raga,dark,5,9,03-Mar,28-Mar
raga,dark,5,10,03-Mar,28-Mar
ev,light,1,1,03-Mar,05-Mar
ev,light,1,2,03-Mar,06-Mar
ev,light,1,3,03-Mar,06-Mar
ev,light,1,4,03-Mar,06-Mar
ev,light,1,5,03-Mar,07-Mar
ev,light,1,6,03-Mar,07-Mar
ev,light,1,7,03-Mar,07-Mar
ev,light,1,8,03-Mar,07-Mar
ev,light,1,9,03-Mar,07-Mar
EV,Light,1,10,03-Mar,07-Mar
ev,light,2,1,03-Mar,06-Mar
ev,light,2,2,03-Mar,06-Mar
ev,light,2,3,03-Mar,06-Mar
ev,light,2,4,03-Mar,06-Mar
ev,light,2,5,03-Mar,06-Mar
ev,light,2,6,03-Mar,06-Mar
ev,light,2,7,03-Mar,07-Mar
ev,light,2,8,03-Mar,07-Mar
ev,light,2,9,03-Mar,07-Mar
ev,light,2,10,03-Mar,07-Mar
ev,light,3,1,03-Mar,07-Mar
ev,light,3,2,03-Mar,07-Mar
ev,light,3,3,03-Mar,07-Mar
ev,light,3,4,03-Mar,07-Mar
ev,light,3,5,03-Mar,07-Mar
ev,light,3,6,03-Mar,07-Mar
ev,light,3,7,03-Mar,07-Mar
ev,light,3,8,03-Mar,07-Mar
EV,Light,3,9,03-Mar,07-Mar
ev,light,3,10,03-Mar,08-Mar
ev,light,4,1,03-Mar,05-Mar
ev,light,4,2,03-Mar,06-Mar
ev,light,4,3,03-Mar,06-Mar
ev,light,4,4,03-Mar,07-Mar
ev,light,4,5,03-Mar,07-Mar
ev,light,4,6,03-Mar,07-Mar
ev,light,4,7,03-Mar,07-Mar
ev,light,4,8,03-Mar,07-Mar
ev,light,4,9,03-Mar,07-Mar
ev,light,4,10,03-Mar,07-Mar
ev,light,5,1,03-Mar,06-Mar
ev,light,5,2,03-Mar,06-Mar
ev,light,5,3,03-Mar,06-Mar
ev,light,5,4,03-Mar,06-Mar
ev,light,5,5,03-Mar,06-Mar
ev,light,5,6,03-Mar,07-Mar
ev,light,5,7,03-Mar,07-Mar
ev,light,5,8,03-Mar,07-Mar
EV,Light,5,9,03-Mar,07-Mar
EV,Light,5,10,03-Mar,07-Mar
raga,light,1,1,03-Mar,07-Mar
raga,light,1,2,03-Mar,07-Mar
raga,light,1,3,03-Mar,07-Mar
raga,light,1,4,03-Mar,07-Mar
raga,light,1,5,03-Mar,07-Mar
raga,light,1,6,03-Mar,07-Mar
raga,light,1,7,03-Mar,07-Mar
RAGA,Light,1,8,03-Mar,07-Mar
RAGA,Light,1,9,03-Mar,07-Mar
RAGA,Light,1,10,03-Mar,07-Mar
raga,light,2,1,03-Mar,06-Mar
raga,light,2,2,03-Mar,06-Mar
raga,light,2,3,03-Mar,07-Mar
raga,light,2,4,03-Mar,07-Mar
raga,light,2,5,03-Mar,07-Mar
raga,light,2,6,03-Mar,07-Mar
raga,light,2,7,03-Mar,07-Mar
raga,light,2,8,03-Mar,08-Mar
raga,light,2,9,03-Mar,08-Mar
raga,light,2,10,03-Mar,09-Mar
raga,light,3,1,03-Mar,07-Mar
raga,light,3,2,03-Mar,07-Mar
raga,light,3,3,03-Mar,08-Mar
raga,light,3,4,03-Mar,08-Mar
raga,light,3,5,03-Mar,08-Mar
raga,light,3,6,03-Mar,08-Mar
raga,light,3,7,03-Mar,08-Mar
RAGA,Light,3,8,03-Mar,08-Mar
raga,light,3,9,03-Mar,09-Mar
raga,light,3,10,03-Mar,09-Mar
raga,light,4,1,03-Mar,04-Mar
raga,light,4,2,03-Mar,06-Mar
raga,light,4,3,03-Mar,06-Mar
RAGA,Light,4,4,03-Mar,07-Mar
RAGA,Light,4,5,03-Mar,07-Mar
RAGA,Light,4,6,03-Mar,07-Mar
RAGA,Light,4,7,03-Mar,07-Mar
raga,light,4,8,03-Mar,07-Mar
raga,light,4,9,03-Mar,07-Mar
raga,light,4,10,03-Mar,07-Mar
raga,light,5,1,03-Mar,06-Mar
raga,light,5,2,03-Mar,06-Mar
raga,light,5,3,03-Mar,07-Mar
raga,light,5,4,03-Mar,07-Mar
raga,light,5,5,03-Mar,07-Mar
raga,light,5,6,03-Mar,07-Mar
raga,light,5,7,03-Mar,07-Mar
raga,light,5,8,03-Mar,07-Mar
RAGA,Light,5,9,03-Mar,07-Mar
raga,light,5,10,03-Mar,08-Mar
ev,dark,1,1,12-Apr,22-Apr
EV,Dark,1,2,12-Apr,22-Apr
ev,dark,1,3,12-Apr,23-Apr
EV,Dark,1,4,12-Apr,23-Apr
EV,Dark,1,5,12-Apr,24-Apr
ev,dark,1,6,12-Apr,28-Apr
ev,dark,1,7,12-Apr,29-Apr
ev,dark,1,8,12-Apr,01-May
ev,dark,1,9,12-Apr,02-May
ev,dark,1,10,12-Apr,07-May
EV,Dark,2,1,12-Apr,15-Apr
ev,dark,2,2,12-Apr,21-Apr
ev,dark,2,3,12-Apr,23-Apr
ev,dark,2,4,12-Apr,23-Apr
ev,dark,2,5,12-Apr,25-Apr
EV,Dark,2,6,12-Apr,27-Apr
ev,dark,2,7,12-Apr,28-Apr
ev,dark,2,8,12-Apr,30-Apr
ev,dark,2,9,12-Apr,02-May
ev,dark,2,10,12-Apr,03-May
EV,Dark,3,1,12-Apr,14-Apr
EV,Dark,3,2,12-Apr,14-Apr
EV,Dark,3,3,12-Apr,15-Apr
ev,dark,3,4,12-Apr,22-Apr
ev,dark,3,5,12-Apr,23-Apr
ev,dark,3,6,12-Apr,24-Apr
ev,dark,3,7,12-Apr,26-Apr
ev,dark,3,8,12-Apr,28-Apr
ev,dark,3,9,12-Apr,02-May
ev,dark,3,10,12-Apr,05-May
EV,Dark,4,1,12-Apr,13-Apr
EV,Dark,4,2,12-Apr,17-Apr
EV,Dark,4,3,12-Apr,20-Apr
EV,Dark,4,4,12-Apr,23-Apr
ev,dark,4,5,12-Apr,23-Apr
EV,Dark,4,6,12-Apr,23-Apr
EV,Dark,4,7,12-Apr,23-Apr
ev,dark,4,8,12-Apr,26-Apr
ev,dark,4,9,12-Apr,27-Apr
ev,dark,4,10,12-Apr,10-May
EV,Dark,5,1,12-Apr,16-Apr
ev,dark,5,2,12-Apr,23-Apr
ev,dark,5,3,12-Apr,23-Apr
ev,dark,5,4,12-Apr,26-Apr
ev,dark,5,5,12-Apr,27-Apr
ev,dark,5,6,12-Apr,28-Apr
ev,dark,5,7,12-Apr,04-May
ev,dark,5,8,12-Apr,06-May
ev,dark,5,9,12-Apr,08-May
ev,dark,5,10,12-Apr,11-May
raga,dark,1,1,12-Apr,26-Apr
raga,dark,1,2,12-Apr,27-Apr
raga,dark,1,3,12-Apr,27-Apr
raga,dark,1,4,12-Apr,28-Apr
raga,dark,1,5,12-Apr,28-Apr
raga,dark,1,6,12-Apr,30-Apr
raga,dark,1,7,12-Apr,01-May
raga,dark,1,8,12-Apr,01-May
raga,dark,1,9,12-Apr,03-May
raga,dark,1,10,12-Apr,04-May
raga,dark,2,1,12-Apr,21-Apr
RAGA,Dark,2,2,12-Apr,26-Apr
raga,dark,2,3,12-Apr,26-Apr
raga,dark,2,4,12-Apr,27-Apr
raga,dark,2,5,12-Apr,29-Apr
raga,dark,2,6,12-Apr,02-May
raga,dark,2,7,12-Apr,03-May
raga,dark,2,8,12-Apr,04-May
raga,dark,2,9,12-Apr,05-May
raga,dark,2,10,12-Apr,13-May
RAGA,Dark,3,1,12-Apr,16-Apr
raga,dark,3,2,12-Apr,28-Apr
raga,dark,3,3,12-Apr,28-Apr
raga,dark,3,4,12-Apr,28-Apr
raga,dark,3,5,12-Apr,03-May
raga,dark,3,6,12-Apr,04-May
raga,dark,3,7,12-Apr,04-May
raga,dark,3,8,12-Apr,04-May
raga,dark,3,9,12-Apr,06-May
raga,dark,3,10,12-Apr,11-May
RAGA,Dark,4,1,12-Apr,16-Apr
RAGA,Dark,4,2,12-Apr,20-Apr
RAGA,Dark,4,3,12-Apr,20-Apr
raga,dark,4,4,12-Apr,23-Apr
raga,dark,4,5,12-Apr,27-Apr
raga,dark,4,6,12-Apr,27-Apr
raga,dark,4,7,12-Apr,28-Apr
raga,dark,4,8,12-Apr,02-May
raga,dark,4,9,12-Apr,07-May
raga,dark,4,10,12-Apr,08-May
RAGA,Dark,5,1,12-Apr,22-Apr
raga,dark,5,2,12-Apr,26-Apr
raga,dark,5,3,12-Apr,28-Apr
raga,dark,5,4,12-Apr,30-Apr
raga,dark,5,5,12-Apr,02-May
raga,dark,5,6,12-Apr,03-May
raga,dark,5,7,12-Apr,04-May
raga,dark,5,8,12-Apr,05-May
raga,dark,5,9,12-Apr,07-May
raga,dark,5,10,12-Apr,08-May
EV,Light,1,1,12-Apr,16-Apr
ev,light,1,2,12-Apr,19-Apr
ev,light,1,3,12-Apr,19-Apr
ev,light,1,4,12-Apr,19-Apr
ev,light,1,5,12-Apr,19-Apr
ev,light,1,6,12-Apr,20-Apr
ev,light,1,7,12-Apr,20-Apr
ev,light,1,8,12-Apr,21-Apr
ev,light,1,9,12-Apr,21-Apr
ev,light,1,10,12-Apr,21-Apr
EV,Light,2,1,12-Apr,17-Apr
ev,light,2,2,12-Apr,18-Apr
ev,light,2,3,12-Apr,19-Apr
ev,light,2,4,12-Apr,19-Apr
ev,light,2,5,12-Apr,19-Apr
ev,light,2,6,12-Apr,20-Apr
ev,light,2,7,12-Apr,20-Apr
ev,light,2,8,12-Apr,20-Apr
ev,light,2,9,12-Apr,21-Apr
EV,Light,2,10,12-Apr,NA
ev,light,3,1,12-Apr,18-Apr
ev,light,3,2,12-Apr,18-Apr
ev,light,3,3,12-Apr,19-Apr
ev,light,3,4,12-Apr,19-Apr
ev,light,3,5,12-Apr,20-Apr
ev,light,3,6,12-Apr,20-Apr
ev,light,3,7,12-Apr,20-Apr
ev,light,3,8,12-Apr,20-Apr
ev,light,3,9,12-Apr,21-Apr
ev,light,3,10,12-Apr,21-Apr
ev,light,4,1,12-Apr,18-Apr
EV,Light,4,2,12-Apr,18-Apr
ev,light,4,3,12-Apr,20-Apr
ev,light,4,4,12-Apr,20-Apr
ev,light,4,5,12-Apr,20-Apr
ev,light,4,6,12-Apr,21-Apr
ev,light,4,7,12-Apr,21-Apr
ev,light,4,8,12-Apr,21-Apr
ev,light,4,9,12-Apr,21-Apr
ev,light,4,10,12-Apr,22-Apr
ev,light,5,1,12-Apr,19-Apr
ev,light,5,2,12-Apr,19-Apr
ev,light,5,3,12-Apr,19-Apr
ev,light,5,4,12-Apr,19-Apr
ev,light,5,5,12-Apr,19-Apr
ev,light,5,6,12-Apr,20-Apr
ev,light,5,7,12-Apr,21-Apr
ev,light,5,8,12-Apr,21-Apr
ev,light,5,9,12-Apr,21-Apr
ev,light,5,10,12-Apr,21-Apr
RAGA,Light,1,1,12-Apr,18-Apr
raga,light,1,2,12-Apr,19-Apr
raga,light,1,3,12-Apr,19-Apr
raga,light,1,4,12-Apr,20-Apr
raga,light,1,5,12-Apr,20-Apr
raga,light,1,6,12-Apr,21-Apr
raga,light,1,7,12-Apr,21-Apr
raga,light,1,8,12-Apr,21-Apr
raga,light,1,9,12-Apr,22-Apr
RAGA,Light,1,10,12-Apr,NA
RAGA,Light,2,1,12-Apr,17-Apr
raga,light,2,2,12-Apr,18-Apr
raga,light,2,3,12-Apr,18-Apr
raga,light,2,4,12-Apr,19-Apr
raga,light,2,5,12-Apr,19-Apr
raga,light,2,6,12-Apr,19-Apr
raga,light,2,7,12-Apr,19-Apr
raga,light,2,8,12-Apr,19-Apr
raga,light,2,9,12-Apr,20-Apr
raga,light,2,10,12-Apr,21-Apr
raga,light,3,1,12-Apr,18-Apr
raga,light,3,2,12-Apr,18-Apr
raga,light,3,3,12-Apr,18-Apr
raga,light,3,4,12-Apr,19-Apr
raga,light,3,5,12-Apr,19-Apr
raga,light,3,6,12-Apr,20-Apr
raga,light,3,7,12-Apr,20-Apr
raga,light,3,8,12-Apr,21-Apr
raga,light,3,9,12-Apr,21-Apr
raga,light,3,10,12-Apr,21-Apr
RAGA,Light,4,1,12-Apr,16-Apr
raga,light,4,2,12-Apr,18-Apr
raga,light,4,3,12-Apr,18-Apr
raga,light,4,4,12-Apr,19-Apr
raga,light,4,5,12-Apr,20-Apr
raga,light,4,6,12-Apr,20-Apr
raga,light,4,7,12-Apr,21-Apr
raga,light,4,8,12-Apr,21-Apr
raga,light,4,9,12-Apr,21-Apr
raga,light,4,10,12-Apr,22-Apr
RAGA,Light,5,1,12-Apr,16-Apr
raga,light,5,2,12-Apr,19-Apr
raga,light,5,3,12-Apr,19-Apr
raga,light,5,4,12-Apr,19-Apr
raga,light,5,5,12-Apr,19-Apr
raga,light,5,6,12-Apr,19-Apr
raga,light,5,7,12-Apr,19-Apr
raga,light,5,8,12-Apr,20-Apr
raga,light,5,9,12-Apr,20-Apr
raga,light,5,10,12-Apr,21-Apr